antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'soda'}),frozenset({'other vegetables'}),0.2350206611570248,0.28486570247933884,0.07205578512396695,0.3065934065934066,1.076273499845576,0.005106459386312406,1.0313347238412072,0.09264059206338826
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.28486570247933884,0.34736570247933884,0.11234504132231404,0.3943789664551224,1.1353422736908803,0.013392466468308162,1.0776281888701935,0.1666936484809237
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.34736570247933884,0.28486570247933884,0.11234504132231404,0.32342007434944237,1.1353422736908803,0.013392466468308162,1.0569842089728454,0.1826571874331926
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.20583677685950413,0.28486570247933884,0.06611570247933884,0.3212045169385195,1.1275647231060266,0.007479864443173279,1.05353426085761,0.14245553861788615
frozenset({'other vegetables'}),frozenset({'yogurt'}),0.28486570247933884,0.20583677685950413,0.06611570247933884,0.23209428830462375,1.1275647231060266,0.007479864443173279,1.034193666025935,0.15819818752257128
frozenset({'pastry'}),frozenset({'whole milk'}),0.13042355371900827,0.34736570247933884,0.05010330578512397,0.38415841584158417,1.105919246199713,0.0047986364276688745,1.0597437950094337,0.11013965137676476
frozenset({'whole milk'}),frozenset({'pastry'}),0.34736570247933884,0.13042355371900827,0.05010330578512397,0.14423791821561338,1.105919246199713,0.0047986364276688745,1.016142763030351,0.14675116983995526
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.12035123966942149,0.34736570247933884,0.05036157024793388,0.41845493562231756,1.204652424334285,0.008555677335906016,1.1222420023787012,0.19312826535374977
frozenset({'whole milk'}),frozenset({'pip fruit'}),0.34736570247933884,0.12035123966942149,0.05036157024793388,0.1449814126394052,1.2046524243342853,0.008555677335906016,1.0288065936040245,0.26030663703793894
frozenset({'rolls/buns'}),frozenset({'root vegetables'}),0.2631714876033058,0.16942148760330578,0.051394628099173556,0.1952894995093229,1.152684362957467,0.006807723174646549,1.0321457367466236,0.17977021454979086
frozenset({'root vegetables'}),frozenset({'rolls/buns'}),0.16942148760330578,0.2631714876033058,0.051394628099173556,0.3033536585365854,1.1526843629574668,0.006807723174646549,1.0576794401142922,0.15947898697467455
frozenset({'rolls/buns'}),frozenset({'soda'}),0.2631714876033058,0.2350206611570248,0.06947314049586777,0.26398429833169773,1.1232386847695974,0.007622403481661086,1.0393519283746557,0.14890475948489618
frozenset({'soda'}),frozenset({'rolls/buns'}),0.2350206611570248,0.2631714876033058,0.06947314049586777,0.2956043956043956,1.1232386847695974,0.007622403481661086,1.0460435979422649,0.1434251447705634
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.2631714876033058,0.34736570247933884,0.10614669421487603,0.40333660451422965,1.1611296153747934,0.014729945551021112,1.0938064953512399,0.1883337895910141
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.34736570247933884,0.2631714876033058,0.10614669421487603,0.30557620817843867,1.1611296153747934,0.014729945551021112,1.0610646136761817,0.21263011543457194
frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.2631714876033058,0.20583677685950413,0.06353305785123967,0.24141315014720313,1.1728377884190346,0.009362687081654254,1.0468982204141852,0.200001994762324
frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.20583677685950413,0.2631714876033058,0.06353305785123967,0.3086574654956085,1.1728377884190346,0.009362687081654254,1.0657936921600095,0.18556282635997084
