antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.19966348850252383,0.13740886146943354,0.028042624789680313,0.1404494382022472,1.0221279523045175,0.000607092157533181,1.0035374029963453,0.027049754730203265
frozenset({'whole milk'}),frozenset({'root vegetables'}),0.19966348850252383,0.09001682557487381,0.019910263600673023,0.09971910112359551,1.1077829115474815,0.0019371901824705128,1.0107769425751791,0.12156893709841388
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.09001682557487381,0.19966348850252383,0.019910263600673023,0.22118380062305296,1.1077829115474815,0.0019371901824705128,1.0276320807627595,0.10692072310597019
frozenset({'yogurt'}),frozenset({'root vegetables'}),0.1074032529444756,0.09001682557487381,0.011777902411665733,0.10966057441253264,1.2182230789878237,0.0021098025251888204,1.0220632135038807,0.20068668372155654
frozenset({'root vegetables'}),frozenset({'yogurt'}),0.09001682557487381,0.1074032529444756,0.011777902411665733,0.13084112149532712,1.218223078987824,0.0021098025251888204,1.0269661498380764,0.1968523002421308
frozenset({'sausage'}),frozenset({'soda'}),0.07823892316320807,0.11833987661245092,0.01065619742007852,0.13620071684587814,1.1509283323990556,0.0013974129066534474,1.0206770723034282,0.142266984772549
frozenset({'soda'}),frozenset({'sausage'}),0.11833987661245092,0.07823892316320807,0.01065619742007852,0.09004739336492892,1.1509283323990558,0.0013974129066534474,1.0129770167320995,0.1487377795634124
frozenset({'whole milk'}),frozenset({'shopping bags'}),0.19966348850252383,0.06393718452047112,0.016545148625911384,0.08286516853932584,1.2960403114527892,0.003779227319524554,1.020638169404938,0.28540377466060113
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.06393718452047112,0.19966348850252383,0.016545148625911384,0.2587719298245614,1.2960403114527892,0.003779227319524554,1.0797439326711513,0.24402108234911793
frozenset({'soda'}),frozenset({'tropical fruit'}),0.11833987661245092,0.09282108805384184,0.011497476163768929,0.0971563981042654,1.046706089546255,0.000513040056443842,1.004801839478422,0.050611307639793865
frozenset({'tropical fruit'}),frozenset({'soda'}),0.09282108805384184,0.11833987661245092,0.011497476163768929,0.12386706948640483,1.046706089546255,0.000513040056443842,1.0063086235906162,0.049187620160591014
frozenset({'yogurt'}),frozenset({'soda'}),0.1074032529444756,0.11833987661245092,0.012899607403252944,0.12010443864229764,1.014910967294866,0.00018951970202784468,1.002005422128876,0.016459724897212057
frozenset({'soda'}),frozenset({'yogurt'}),0.11833987661245092,0.1074032529444756,0.012899607403252944,0.10900473933649289,1.014910967294866,0.00018951970202784468,1.0017974129187002,0.016663900873990452
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.09282108805384184,0.19966348850252383,0.019068984856982614,0.20543806646525678,1.0289215519875081,0.0005360026095526105,1.0072676247363672,0.03098463496681514
frozenset({'whole milk'}),frozenset({'tropical fruit'}),0.19966348850252383,0.09282108805384184,0.019068984856982614,0.0955056179775281,1.0289215519875081,0.0005360026095526105,1.0029679896050694,0.03512098602580483
frozenset({'yogurt'}),frozenset({'tropical fruit'}),0.1074032529444756,0.09282108805384184,0.012058328659562535,0.1122715404699739,1.2095477743683591,0.002089041860734317,1.0219103625746428,0.1940906998662955
frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.09282108805384184,0.1074032529444756,0.012058328659562535,0.1299093655589124,1.2095477743683591,0.002089041860734317,1.0258664002617313,0.1909708493583983
frozenset({'yogurt'}),frozenset({'whole milk'}),0.1074032529444756,0.19966348850252383,0.021873247335950644,0.20365535248041775,1.019992959192654,0.0004287391765376812,1.0050127341099455,0.021959609141513015
frozenset({'whole milk'}),frozenset({'yogurt'}),0.19966348850252383,0.1074032529444756,0.021873247335950644,0.10955056179775281,1.0199929591926542,0.0004287391765376812,1.002411488806835,0.02449104271108476
